Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Object Repository/Page_Giy Nam gi siu tt - Thng 4, 2022  Tiki/img_Gi cao_WebpImg__StyledImg-sc-h3ozu8-0 fWjUGo""))",Chrome 100.0.4896.88,,,4/16/2022 10:51,4/16/2022 10:51,13.103s,PASSED
"click(findTestObject(""Object Repository/Page_Giy chy b nam New Balance - M860E11  S_473c67/img_bn 9_WebpImg__StyledImg-sc-h3ozu8-0 fWjUGo""))",Chrome 100.0.4896.88,,,4/16/2022 10:51,4/16/2022 10:52,4.457s,PASSED
"click(findTestObject(""Object Repository/Page_Giy Th Thao nam NEW BALANCE MVARECL1  _5c2103/img_US10.5_selected-indicator""))",Chrome 100.0.4896.88,,,4/16/2022 10:52,4/16/2022 10:52,1.489s,FAILED
,,,,,,,
Test Cases/TestCase11,Chrome 100.0.4896.88,,,4/16/2022 10:52,4/16/2022 10:52,15.694s,FAILED
"openBrowser("""")",Chrome 100.0.4896.88,,,4/16/2022 10:52,4/16/2022 10:52,2.144s,PASSED
"navigateToUrl(""https://tiki.vn/"")",Chrome 100.0.4896.88,,,4/16/2022 10:52,4/16/2022 10:52,2.445s,PASSED
"click(findTestObject(""Object Repository/Page_Tiki - Mua hng online gi tt, hng chun,_f1f5b0/div_M  B""))",Chrome 100.0.4896.88,,,4/16/2022 10:52,4/16/2022 10:52,0.805s,PASSED
"click(findTestObject(""Object Repository/Page_Mua online  Chi - M  B gi cc tt  Tiki/a_chi""))",Chrome 100.0.4896.88,,,4/16/2022 10:52,4/16/2022 10:52,2.255s,PASSED
"click(findTestObject(""Object Repository/Page_Mua online  chi gi cc tt  Tiki/a_Lp ghp, Xp hnh""))",Chrome 100.0.4896.88,,,4/16/2022 10:52,4/16/2022 10:52,3.114s,PASSED
"click(findTestObject(""Object Repository/Page_Mua online Lp ghp, Xp hnh gi cc tt  Tiki/img_Ni bn_icon-check-off""))",Chrome 100.0.4896.88,,,4/16/2022 10:52,4/16/2022 10:52,2.309s,PASSED
"click(findTestObject(""Object Repository/Page_Mua online Lp ghp, Xp hnh gi cc tt  Tiki/img_Ni bn_icon-check-off""))",Chrome 100.0.4896.88,,,4/16/2022 10:52,4/16/2022 10:52,1.704s,FAILED
,,,,,,,
Test Cases/TestCase12,Chrome 100.0.4896.88,,,4/16/2022 10:52,4/16/2022 10:52,17.817s,FAILED
"openBrowser("""")",Chrome 100.0.4896.88,,,4/16/2022 10:52,4/16/2022 10:52,1.993s,PASSED
"navigateToUrl(""https://tiki.vn/"")",Chrome 100.0.4896.88,,,4/16/2022 10:52,4/16/2022 10:52,2.207s,PASSED
"click(findTestObject(""Object Repository/Page_Tiki - Mua hng online gi tt, hng chun,_f1f5b0/a_go, m n lin""))",Chrome 100.0.4896.88,,,4/16/2022 10:52,4/16/2022 10:52,0.806s,PASSED
"click(findTestObject(""Object Repository/Page_Mua go, m, nng sn online, ti ngon, gi _068fe0/img_Sa, b, ph mai_WebpImg__StyledImg-sc-h3o_94b249""))",Chrome 100.0.4896.88,,,4/16/2022 10:52,4/16/2022 10:52,2.182s,PASSED
"click(findTestObject(""Object Repository/Page_Mua thc phm ng lnh online, cht lng, gi_9dad61/a_Rau c qu ng lnh""))",Chrome 100.0.4896.88,,,4/16/2022 10:52,4/16/2022 10:52,2.911s,PASSED
"click(findTestObject(""Object Repository/Page_Mua rau c ng lnh online cht lng, gi r _eb6ae6/img_Ch Giao HCM  Nhm Xanh Rong Bin Trng Mui_a63bf6""))",Chrome 100.0.4896.88,,,4/16/2022 10:52,4/16/2022 10:52,2.031s,PASSED
"click(findTestObject(""Object Repository/Page_Ch Giao HCM  Tm Cun Khoai Ty - 300gr  _69e182/button_Ch Giao HCM  Nhm Tm Khoai Mn - 1kg_p_1d9f43""))",Chrome 100.0.4896.88,,,4/16/2022 10:52,4/16/2022 10:52,2.918s,PASSED
"click(findTestObject(""Object Repository/Page_Ch Giao HCM  Tm Cun Khoai Ty - 300gr  _69e182/img_Gi hng_close-img""))",Chrome 100.0.4896.88,,,4/16/2022 10:52,4/16/2022 10:52,0.681s,PASSED
"click(findTestObject(""Object Repository/Page_Ch Giao HCM  Tm Cun Khoai Ty - 300gr  _69e182/img_Ch Giao HCM  i g loi 2 - 10 ci_WebpImg__32540d""))",Chrome 100.0.4896.88,,,4/16/2022 10:52,4/16/2022 10:52,0.539s,PASSED
"click(findTestObject(""Object Repository/Page_Ch Giao HCM  Tm Cun Khoai Ty - 300gr  _69e182/div_Ch Giao HCM  C Vin Basa Loi 1 - 500gr48_ebced0""))",Chrome 100.0.4896.88,,,4/16/2022 10:52,4/16/2022 10:52,1.006s,FAILED
,,,,,,,
Test Cases/TestCase13,Chrome 100.0.4896.88,,,4/16/2022 10:52,4/16/2022 10:53,50.017s,FAILED
"openBrowser("""")",Chrome 100.0.4896.88,,,4/16/2022 10:52,4/16/2022 10:52,1.976s,PASSED
"navigateToUrl(""https://tiki.vn/"")",Chrome 100.0.4896.88,,,4/16/2022 10:52,4/16/2022 10:52,3.757s,PASSED
"click(findTestObject(""Object Repository/Page_Tiki - Mua hng online gi tt, hng chun,_f1f5b0/div_Thit B S""))",Chrome 100.0.4896.88,,,4/16/2022 10:52,4/16/2022 10:52,1.709s,PASSED
"setText(findTestObject(""Object Repository/Page_Mua online Thit B S - Ph Kin S gi cc tt  Tiki/input_Tm Kim_FormSearch__Input-sc-1fwg3wo-2 gBxvSE""), ""Tai nghe sony"")",Chrome 100.0.4896.88,,,4/16/2022 10:52,4/16/2022 10:52,10.428s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_Mua online Thit B S - Ph Kin S gi cc tt  Tiki/input_Tm Kim_FormSearch__Input-sc-1fwg3wo-2 gBxvSE""), Keys.chord(ENTER))",Chrome 100.0.4896.88,,,4/16/2022 10:52,4/16/2022 10:53,31.558s,FAILED
,,,,,,,
Test Cases/TestCase14,Chrome 100.0.4896.88,,,4/16/2022 10:53,4/16/2022 10:53,13.434s,FAILED
"openBrowser("""")",Chrome 100.0.4896.88,,,4/16/2022 10:53,4/16/2022 10:53,1.955s,PASSED
"navigateToUrl(""https://tiki.vn/"")",Chrome 100.0.4896.88,,,4/16/2022 10:53,4/16/2022 10:53,2.208s,PASSED
"click(findTestObject(""Object Repository/Page_Tiki - Mua hng online gi tt, hng chun,_f1f5b0/img_bn 4_WebpImg__StyledImg-sc-h3ozu8-0 fWj_e8abfb""))",Chrome 100.0.4896.88,,,4/16/2022 10:53,4/16/2022 10:53,1.462s,PASSED
"click(findTestObject(""Object Repository/Page_Tiki - Lch S Kin Thng 4  Tiki/a_tri cy""))",Chrome 100.0.4896.88,,,4/16/2022 10:53,4/16/2022 10:53,0.912s,PASSED
"click(findTestObject(""Object Repository/Page_Mua tri cy online ti, ngon, sch, gi cc_befacd/img_M gim 50K_WebpImg__StyledImg-sc-h3ozu8-_2d1a6f""))",Chrome 100.0.4896.88,,,4/16/2022 10:53,4/16/2022 10:53,1.894s,PASSED
"click(findTestObject(""Object Repository/Page_Ch Giao HCM - Big C - L 4 tri to Php B_78d427/img_bn 2_WebpImg__StyledImg-sc-h3ozu8-0 fWjUGo""))",Chrome 100.0.4896.88,,,4/16/2022 10:53,4/16/2022 10:53,3.404s,PASSED
"click(findTestObject(""Object Repository/Page_Ch Giao HCM - Big C - L 4 tri to Php B_78d427/div_Da ci 500g - 3721815.500 Thng ln n 2,02_70a902""))",Chrome 100.0.4896.88,,,4/16/2022 10:53,4/16/2022 10:53,1.119s,FAILED
,,,,,,,
Test Cases/TestCase15,Chrome 100.0.4896.88,,,4/16/2022 10:53,4/16/2022 10:54,43.106s,FAILED
"openBrowser("""")",Chrome 100.0.4896.88,,,4/16/2022 10:53,4/16/2022 10:53,2.049s,PASSED
"navigateToUrl(""https://tiki.vn/"")",Chrome 100.0.4896.88,,,4/16/2022 10:53,4/16/2022 10:53,2.435s,PASSED
"click(findTestObject(""Object Repository/Page_Tiki - Mua hng online gi tt, hng chun,_f1f5b0/div_Tht, Rau C""))",Chrome 100.0.4896.88,,,4/16/2022 10:53,4/16/2022 10:53,3.410s,PASSED
"click(findTestObject(""Object Repository/Page_Mua rau c sch online, tht c, thc phm g_af6b2d/img_Big C_WebpImg__StyledImg-sc-h3ozu8-0 fW_bf94fe""))",Chrome 100.0.4896.88,,,4/16/2022 10:53,4/16/2022 10:53,2.759s,PASSED
"click(findTestObject(""Object Repository/Page_H CH MINH - TIKINGON THC PHM TI SNG  Tiki/img_GIM N 50_styles__StyledImage-sc-m7qx6b-_a53698""))",Chrome 100.0.4896.88,,,4/16/2022 10:53,4/16/2022 10:54,31.741s,FAILED
,,,,,,,
Test Cases/TestCase16,Chrome 100.0.4896.88,,,4/16/2022 10:54,4/16/2022 10:54,13.934s,FAILED
"openBrowser("""")",Chrome 100.0.4896.88,,,4/16/2022 10:54,4/16/2022 10:54,2.097s,PASSED
"navigateToUrl(""https://tiki.vn/"")",Chrome 100.0.4896.88,,,4/16/2022 10:54,4/16/2022 10:54,3.116s,PASSED
"click(findTestObject(""Object Repository/Page_Tiki - Mua hng online gi tt, hng chun,_f1f5b0/div_M  B""))",Chrome 100.0.4896.88,,,4/16/2022 10:54,4/16/2022 10:54,0.874s,PASSED
"click(findTestObject(""Object Repository/Page_Mua online  Chi - M  B gi cc tt  Tiki/a_Thi Trang Cho M V B""))",Chrome 100.0.4896.88,,,4/16/2022 10:54,4/16/2022 10:54,2.102s,PASSED
"click(findTestObject(""Object Repository/Page_Mua online Thi Trang Cho M V B gi cc tt  Tiki/img_Ni bn_icon-check-off""))",Chrome 100.0.4896.88,,,4/16/2022 10:54,4/16/2022 10:54,3.198s,PASSED
"click(findTestObject(""Object Repository/Page_Mua online Thi Trang Cho M V B gi cc tt  Tiki/img_Ni bn_icon-check-off""))",Chrome 100.0.4896.88,,,4/16/2022 10:54,4/16/2022 10:54,2.042s,FAILED
,,,,,,,
Test Cases/TestCase17,Chrome 100.0.4896.88,,,4/16/2022 10:54,4/16/2022 10:55,51.803s,FAILED
"openBrowser("""")",Chrome 100.0.4896.88,,,4/16/2022 10:54,4/16/2022 10:54,2.039s,PASSED
"navigateToUrl(""https://tiki.vn/"")",Chrome 100.0.4896.88,,,4/16/2022 10:54,4/16/2022 10:54,1.416s,PASSED
"click(findTestObject(""Object Repository/Page_Tiki - Mua hng online gi tt, hng chun,_f1f5b0/div_Thi trang n""))",Chrome 100.0.4896.88,,,4/16/2022 10:54,4/16/2022 10:54,1.408s,PASSED
"click(findTestObject(""Object Repository/Page_Mua online Thi trang n gi cc tt  Tiki/a_Trang phc bi n""))",Chrome 100.0.4896.88,,,4/16/2022 10:54,4/16/2022 10:54,2.546s,PASSED
"click(findTestObject(""Object Repository/Page_Mua online Trang phc bi n gi cc tt  Tiki/span_Trang ch""))",Chrome 100.0.4896.88,,,4/16/2022 10:54,4/16/2022 10:54,5.217s,PASSED
